re : midcon transport usage tickets - - marol,"bueno . . . it ' s done .
daren j farmer @ ect
03 / 05 / 2001 08 : 09 am
to : mark mccoy / corp / enron @ enron
cc :
subject : re : midcon transport usage tickets - - marol
you can copy the old tickets or create new ones . what ever you need .
d
mark mccoy @ enron
03 / 02 / 2001 08 : 40 am
to : daren j farmer / hou / ect @ ect
cc :
subject : midcon transport usage tickets - - marol
daren - - -
i noticed that the midcon transport usage tickets at oakville & moore are not
in for march . the previous deal tickets are 598934 & 598958 for that
transport . should they ? let me know if you want me to set up new tickets if
need be . . . or let me know if you create them , so i can update mops & pops .
thanks ,
mark",0.0,,,,0,0
online approval for $ 5000 now,"sincerely , your new offers staff
remove
",1.0,,,,0,0
femmerol - clinically proven to fight pms,"to unsubscribe paliourg @ iit . demokritos . gr from this newsletter , follow one of these steps :
1 . click on
remove @ iwantspecialdeals . com and send . please , do not edit .
2 . go to iwantspecialdeals . com / mynewsletters .
there is no need to mark or correct anything - your newsletter subscription will be canceled immediately .
3 . forward the entire unedited newsletter to remove @ iwantspecialdeals . comletter id : { 8548912 }
",1.0,,,,0,0
"hpl nom for november 10 , 2000","( see attached file : hplnl 110 . xls )
- hplnl 110 . xls",0.0,,,,0,0
here you go,"enough door eat know mount . differ old here order circle . still ,
trip , mind area . here feel be . mother nothing at . blow it , that
student some . design paragraph stop much , money stay . state
round before . turn run , travel school size get have .
- -
phone : 188 - 345 - 9040
mobile : 915 - 787 - 4869
email : velma . stafford @ speedy . net . pe
",1.0,,,,0,0
re : ebs position,"june 16 full - time , but some half days before that .
dc",0.0,,,,0,0
from bar . stephen kwesi,"barrister stephen kwesi
kwesi consultants
accra - ghana
tel / fax : 00233243601078
email : kwesi _ consultants @ yahoo . co . uk
humane / cordial request for assistance
dear friend ,
i am bar . stephen kwesi , a practising lawyer as well as a human right activist here in ghana .
i am contacting you based on a discussion i had with one miss mary fati whom i happen to meet in the refugee camp in one of my reutine visitations to the refugee camps .
the little mary ( 24 ) is originally from the war engulfed area of darfur ? sudan .
she lost her parents and sibblings in the cost of the war and she is all alone now but she was fortunate to find a safe in her father ? s private room and this safe contains a total sum of sixteen million , five hundred thousand united states dollars only ( us $ 16 , 500 , 000 . 00 ) .
this safe was successfully deposited with a private security company here in ghana as family belongings , which i have confirmed with the company as she has handed over all the relevant documents of this deposit to me .
i have confirmed her needs and they include , helping her receive her fund in a secured account , helping her arrange a travelling document out of ghana , assisting her in a way to complete her education and finally and most importantly guiding her in investment purposes with this fund .
my dear , i have little knowledge about your ability and would want you to work with me in helping this little girl whose situation is quit pitiable . you will be compensated appropriately . i will link you up to her if you wish to otherwise we could discuss on possible ways of finalising this transaction .
you can reach me directly on the above telephone number or email or you can reach little mary via her email address ; maryfati @ myway . com
regards ,
bar . stephen kwesi
this email is send by "" email sender express """,1.0,,,,0,0
ena trading track,"all ,
thank you for your time yesterday interviewing for the ena trading track . i would be grateful if you would not discuss feedback with any of the candidates until all offers are confirmed . i will advise you when candidates have been notified .
thanks once again .
regards ,
karen .",0.0,,,,0,0
re : global operations controller forum,"completed as below
enron capital & trade resources corp .
from : sally beck 10 / 10 / 2000 23 : 58
sent by : patti thompson
to : mike jordan / lon / ect @ ect , james new / lon / ect @ ect , mike
wellings / lon / ect @ ect , coralie evans / lon / ect @ ect , robert yeo / lon / ect @ ect , paul
d ' arcy / lon / ect @ ect , david a wall / risk mgmt / lon / ect @ ect , andrew
cornfield / lon / ect @ ect , cindy horn / lon / ect @ ect , jeffrey c gossett / hou / ect @ ect ,
leslie reeves / hou / ect @ ect , bob m hall / na / enron @ enron , stacey w
white / hou / ect @ ect , peggy hedstrom / cal / ect @ ect , brenda f herod / hou / ect @ ect ,
brent a price / hou / ect @ ect , scott earnest / hou / ect @ ect , d todd
hall / hou / ect @ ect , sheila glover / hou / ect @ ect , kevin sweeney / hou / ect @ ect ,
fernley dyson / lon / ect @ ect , heidi mason / enron _ development @ enron _ development ,
jan - erland bekeng / ap / enron @ enron , scott mills / hou / ect @ ect , barry pearce / enron
communications @ enron communications , kristin albrecht / enron
communications @ enron communications , wanda curry / hou / ect @ ect , meredith m
eggleston / hou / ees @ ees , shona wilson / na / enron @ enron , eugenio
perez / hou / ect @ ect , michael e moscoso / hou / ect @ ect , neil tarling / enron
communications @ enron communications
cc :
subject : global operations controller forum
please fill in the following information and email ( or fax 713 - 345 - 8100 ) to
me as soon as possible . ( the same day would be great ! )
please select dinner entr , e for sunday , oct 22 pan seared medallions of black
angus tenderloin , or yes
grilled chicken breast w / artichoke , mushrooms & light herb sauce
hotel reservation : both sunday and monday nights yes
sunday night only
monday night only
extend for additional nights
smoking or non - smoking room non smoking
flight information : date of arrival sunday 22 oct
airline / flight number continental co 35
houston arrival time
shirt size : women ' s or men ' s size mens
small , med , large , x - large , xx - large xl
thanks ,
patti x 39106",0.0,,,,0,0
start date : 1 / 15 / 02 ; hourahead hour : 6 ;,"start date : 1 / 15 / 02 ; hourahead hour : 6 ; no ancillary schedules awarded . no variances detected .
log messages :
parsing file - - > > o : \\ portland \\ westdesk \\ california scheduling \\ iso final schedules \\ 2002011506 . txt",0.0,,,,0,0
